fighter,elo_score,average_soo_score,ultimate_score,kd_x,sub.att_x,avg_sig_strikes,avg_takedowns,avg_sub_attempts,avg_control_time,kd_y,sig.str._y,td_y,sub.att_y,rev.,knockouts,submissions,first_round_finishes,sig_str_landed_total,sig_str_attempted_total,takedowns_landed_total,takedowns_attempted_total,sig_strikes_per_min,takedown_avg_per_min,knockdown_avg,sig_strikes_absorbed_per_min,sub_avg_per_min,total_rounds,total_fights,average_rounds_per_fight
Alexandre Pantoja,1607,1533,1577,0.090909091,0.273,20.295,0.841,0.273,84.636,0.091,20.295,0.841,0.273,0.068,8,11,11,861,1731,3,71,4.41,2.61,0.31,3.97,0.84,44,16,2.75
Benson Henderson,1606,1532,1577,0.057692308,0.192,15.885,0.615,0.192,75.058,0.058,15.885,0.615,0.192,0.019,0,0,0,952,2088,13,114,2.93,2.4,0.18,1.79,0.79,52,14,3.71
Daniel Cormier,1606,1547,1583,0.044444444,0.178,20.244,0.511,0.178,83.8,0.044,20.244,0.511,0.178,0.0,10,5,0,1216,2310,17,78,4.25,1.83,0.26,2.92,0.42,45,15,3.0
Vicente Luque,1605,1548,1582,0.208333333,0.208,22.271,0.292,0.208,41.438,0.208,22.271,0.292,0.208,0.021,11,9,14,1067,2051,6,26,5.07,1.0,0.71,5.21,0.64,48,22,2.18
Stipe Miocic,1603,1544,1580,0.142857143,0.0,20.551,0.51,0.0,70.102,0.143,20.551,0.51,0.0,0.0,15,0,9,1007,1910,24,73,4.67,1.74,0.49,4.01,0.0,49,19,2.58
Tatiana Suarez,1602,1500,1561,0.0,0.267,18.6,1.8,0.267,185.933,0.0,18.6,1.8,0.267,0.0,2,6,0,279,436,18,44,4.27,6.2,0.0,1.38,0.92,15,7,2.14
Glover Teixeira,1602,1536,1576,0.081967213,0.262,15.623,0.59,0.262,77.344,0.082,15.623,0.59,0.262,0.082,18,10,0,1007,2023,20,112,3.73,2.11,0.33,4.43,0.94,61,23,2.65
Gilbert Burns,1602,1548,1581,0.064516129,0.145,14.984,0.661,0.145,67.532,0.065,14.984,0.661,0.145,0.0,6,9,11,929,1915,13,109,3.17,2.1,0.2,3.57,0.46,62,23,2.7
Manon Fiorot,1602,1541,1578,0.047619048,0.0,30.429,0.381,0.0,29.429,0.048,30.429,0.381,0.0,0.0,6,0,6,603,1141,1,28,4.48,1.23,0.0,3.19,0.56,21,7,3.0
Sean O'Malley,1602,1524,1571,0.181818182,0.091,30.636,0.091,0.091,3.576,0.182,30.636,0.091,0.091,0.03,12,0,9,1038,1690,3,7,6.7,0.29,0.77,3.48,0.29,33,13,2.54
Muhammad Mokaev,1601,1505,1563,0.0625,0.25,8.0,1.75,0.25,139.25,0.063,8.0,1.75,0.25,0.0,2,6,3,142,313,13,75,1.61,5.29,0.17,1.35,0.85,16,6,2.67
John Lineker,1601,1535,1574,0.292682927,0.195,24.634,0.171,0.195,16.171,0.293,24.634,0.171,0.195,0.024,14,4,0,1010,2514,6,12,5.36,0.56,0.96,4.27,0.64,41,16,2.56
Deiveson Figueiredo,1600,1550,1580,0.244897959,0.449,13.714,0.51,0.449,49.367,0.245,13.714,0.51,0.449,0.0,9,9,11,672,1236,7,72,2.91,1.62,0.78,3.55,1.43,49,18,2.72
Colby Covington,1599,1524,1569,0.017241379,0.052,18.31,1.19,0.052,125.741,0.017,18.31,1.19,0.052,0.017,4,4,3,1062,2732,48,156,3.88,3.79,0.05,2.98,0.16,58,16,3.63
Charles Oliveira,1599,1544,1577,0.117647059,0.676,13.0,0.574,0.676,68.279,0.118,13.0,0.574,0.676,0.103,10,21,0,884,1600,26,97,3.4,2.25,0.46,3.21,2.66,68,34,2.0
Curtis Blaydes,1599,1563,1585,0.047619048,0.0,13.786,1.476,0.0,114.643,0.048,13.786,1.476,0.0,0.0,13,0,3,579,1155,33,116,3.54,5.69,0.18,1.91,0.0,42,19,2.21
Conor McGregor,1599,1587,1594,0.464285714,0.036,21.393,0.179,0.036,29.75,0.464,21.393,0.179,0.036,0.036,19,1,0,599,1204,13,9,5.32,0.67,1.73,4.66,0.13,28,14,2.0
Merab Dvalishvili,1599,1528,1570,0.023809524,0.095,21.69,2.024,0.095,119.048,0.024,21.69,2.024,0.095,0.0,3,1,0,911,2159,17,230,4.35,6.09,0.07,2.31,0.29,42,13,3.23
Ciryl Gane,1599,1531,1572,0.083333333,0.194,24.972,0.222,0.194,26.806,0.083,24.972,0.222,0.194,0.0,6,3,3,856,1406,13,28,5.49,0.58,0.29,2.19,0.48,36,12,3.0
Neil Magny,1598,1546,1578,0.02247191,0.079,16.045,0.663,0.079,61.045,0.022,16.045,0.663,0.079,0.022,8,4,0,1428,3077,41,153,3.43,2.12,0.07,2.48,0.25,89,34,2.62
Jack Della Maddalena,1598,1519,1566,0.461538462,0.077,27.923,0.077,0.077,11.385,0.462,27.923,0.077,0.077,0.0,12,2,8,0,0,0,0,3.56,1.59,0.34,3.45,0.57,13,7,1.86
Tony Ferguson,1598,1550,1579,0.050847458,0.271,22.576,0.119,0.271,8.085,0.051,22.576,0.119,0.271,0.034,13,8,9,1332,2905,6,20,4.91,0.39,0.17,4.37,0.88,59,24,2.46
Caio Borralho,1597,1501,1559,0.142857143,0.19,16.0,0.429,0.19,94.571,0.143,16.0,0.429,0.19,0.19,5,4,0,417,694,1,20,3.61,1.56,0.52,2.34,0.52,21,7,3.0
Song Yadong,1597,1539,1574,0.179487179,0.051,20.872,0.205,0.051,41.923,0.179,20.872,0.205,0.051,0.051,5,3,3,593,1327,13,45,3.56,1.59,0.34,3.45,0.57,39,14,2.79
Lerone Murphy,1597,1505,1560,0.1,0.2,23.7,0.5,0.2,84.3,0.1,23.7,0.5,0.2,0.05,7,0,6,526,972,13,24,4.8,1.78,0.27,2.67,0.55,20,7,2.86
Derrick Lewis,1596,1529,1569,0.153846154,0.0,10.123,0.154,0.0,28.2,0.154,10.123,0.154,0.0,0.062,23,0,9,658,1294,5,38,2.48,0.57,0.57,2.48,0.0,65,29,2.24
Tom Aspinall,1595,1518,1564,0.5,0.2,14.8,0.4,0.2,30.6,0.5,14.8,0.4,0.2,0.0,12,3,14,148,220,2,4,8.07,3.27,4.09,2.89,1.63,10,9,1.11
Darren Elkins,1595,1526,1567,0.026666667,0.333,15.693,0.88,0.333,102.653,0.027,15.693,0.88,0.333,0.067,9,5,0,1177,3065,39,190,3.4,2.86,0.09,3.22,1.08,75,29,2.59
Elizeu Zaleski dos Santos,1595,1537,1571,0.048780488,0.146,20.268,0.22,0.146,35.317,0.049,20.268,0.22,0.146,0.049,15,3,11,831,1980,2,43,4.33,0.7,0.16,3.41,0.47,41,16,2.56
Francisco Trinaldo,1593,1517,1562,0.073529412,0.162,14.838,0.309,0.162,57.324,0.074,14.838,0.309,0.162,0.044,9,5,7,1009,2230,16,50,3.13,0.98,0.23,2.67,0.51,68,26,2.62
Georges St-Pierre,1591,1480,1547,0.126760563,0.338,18.493,1.268,0.338,137.0,0.127,18.493,1.268,0.338,0.07,0,0,0,1393,2598,90,137,3.78,4.16,0.37,1.4,1.1,71,22,3.23
Rustam Khabilov,1590,1532,1567,0.027777778,0.028,9.417,1.25,0.028,75.833,0.028,9.417,1.25,0.028,0.028,4,5,0,339,988,35,108,1.98,3.95,0.09,2.16,0.09,36,13,2.77
