fighter,elo_score,average_soo_score,ultimate_score,kd_x,sub.att_x,avg_sig_strikes,avg_takedowns,avg_sub_attempts,avg_control_time,kd_y,sig.str._y,td_y,sub.att_y,rev.,knockouts,submissions,first_round_finishes,sig_str_landed_total,sig_str_attempted_total,takedowns_landed_total,takedowns_attempted_total,sig_strikes_per_min,takedown_avg_per_min,knockdown_avg,sig_strikes_absorbed_per_min,sub_avg_per_min,total_rounds,total_fights,average_rounds_per_fight
Miranda Maverick,1537,1510,1526,0.0,0.111,17.222,0.778,0.111,88.0,0.0,17.222,0.778,0.111,0.037,1,8,6,465,1013,8,46,3.59,2.43,0.0,2.46,0.35,27,10,2.7
Paul Felder,1537,1531,1535,0.069767442,0.07,17.744,0.093,0.07,35.674,0.07,17.744,0.093,0.07,0.0,10,1,0,763,1710,3,14,3.7,0.29,0.22,3.44,0.22,43,15,2.87
Chad Laprise,1537,1499,1522,0.15,0.0,20.5,0.3,0.0,36.95,0.15,20.5,0.3,0.0,0.0,8,1,0,410,958,6,11,4.78,1.05,0.52,3.59,0.0,20,10,2.0
Askar Askarov,1536,1536,1536,0.0,0.133,15.267,0.867,0.133,93.933,0.0,15.267,0.867,0.133,0.133,4,7,2,229,424,4,53,3.05,2.6,0.0,2.8,0.4,15,5,3.0
Dennis Siver,1536,1493,1519,0.14,0.1,17.38,0.26,0.1,45.8,0.14,17.38,0.26,0.1,0.1,0,0,0,869,2678,13,40,3.87,0.87,0.47,2.67,0.33,50,21,2.38
Alex Perez,1536,1508,1525,0.19047619,0.19,17.0,0.571,0.19,72.381,0.19,17.0,0.571,0.19,0.0,6,7,10,370,798,7,26,4.19,2.04,0.68,3.2,0.85,21,12,1.75
Ed Herman,1536,1501,1522,0.066666667,0.283,14.183,0.567,0.283,70.4,0.067,14.183,0.567,0.283,0.1,7,15,4,861,1778,32,71,3.31,1.96,0.23,3.71,1.04,60,26,2.31
John Moraga,1536,1505,1523,0.054054054,0.324,11.703,0.189,0.324,39.73,0.054,11.703,0.189,0.324,0.081,0,8,1,433,995,7,30,2.57,0.62,0.18,2.55,1.07,37,14,2.64
Kyung Ho Kang,1536,1481,1514,0.111111111,0.25,15.25,0.639,0.25,97.778,0.111,15.25,0.639,0.25,0.139,2,12,9,549,1151,13,46,3.13,1.97,0.34,3.32,0.77,36,14,2.57
Chan Sung Jung,1535,1540,1537,0.121212121,0.212,16.182,0.242,0.212,35.485,0.121,16.182,0.242,0.212,0.0,6,8,0,678,1635,5,18,3.93,0.7,0.43,4.52,0.61,33,11,3.0
Joe Solecki,1535,1494,1519,0.0,0.421,9.158,0.684,0.421,143.211,0.0,9.158,0.684,0.421,0.0,1,8,8,187,331,4,30,1.98,2.23,0.0,1.77,1.43,19,8,2.38
Mark Munoz,1535,1523,1530,0.066666667,0.167,13.133,0.933,0.167,85.833,0.067,13.133,0.933,0.167,0.1,0,0,0,428,837,13,98,3.12,3.17,0.22,2.26,0.55,30,15,2.0
Abel Trujillo,1535,1494,1519,0.125,0.125,11.375,0.625,0.125,47.25,0.125,11.375,0.625,0.125,0.0,0,0,0,273,662,15,33,2.65,2.18,0.44,2.31,0.44,24,11,2.18
Anthony Rocco Martin,1535,1519,1529,0.048780488,0.317,12.463,0.22,0.317,71.0,0.049,12.463,0.22,0.317,0.098,1,9,0,511,1374,8,33,2.68,0.71,0.16,2.59,1.02,41,15,2.73
Brian Ebersole,1535,1528,1532,0.05,0.05,12.05,0.5,0.05,100.55,0.05,12.05,0.5,0.05,0.1,0,0,0,266,533,13,56,2.32,1.7,0.13,2.14,0.13,20,8,2.5
Albert Tumenov,1535,1505,1523,0.294117647,0.0,16.412,0.059,0.0,9.647,0.294,16.412,0.059,0.0,0.059,0,0,0,279,664,13,5,3.76,0.2,1.01,3.34,0.0,17,8,2.13
Bryan Caraway,1535,1502,1522,0.0,0.231,11.885,0.731,0.231,85.885,0.0,11.885,0.731,0.231,0.038,2,16,0,354,1034,19,94,2.53,2.57,0.0,3.61,0.75,26,10,2.6
Chris Lytle,1534,1511,1525,0.041666667,0.646,17.042,0.188,0.646,35.729,0.042,17.042,0.188,0.646,0.188,0,0,0,883,1948,13,20,3.76,0.7,0.13,3.03,2.36,48,20,2.4
Manuel Torres,1534,1526,1531,0.5,0.25,17.5,0.5,0.25,19.75,0.5,17.5,0.5,0.25,0.0,7,7,14,95,171,13,3,7.17,2.26,3.4,4.53,1.13,4,4,1.0
Johnny Case,1534,1471,1509,0.117647059,0.059,18.412,0.529,0.059,68.0,0.118,18.412,0.529,0.059,0.176,0,0,0,313,806,9,20,3.95,1.7,0.38,2.66,0.19,17,6,2.83
Daniel Kelly,1534,1509,1524,0.0,0.091,15.909,0.545,0.091,48.636,0.0,15.909,0.545,0.091,0.0,0,0,0,350,902,12,35,3.62,1.86,0.0,4.64,0.31,22,10,2.2
Marc Diakiese,1534,1506,1523,0.051282051,0.0,11.872,1.026,0.0,90.154,0.051,11.872,1.026,0.0,0.077,6,1,6,463,1146,9,91,2.54,3.29,0.16,2.64,0.0,39,15,2.6
Alonzo Menifield,1534,1505,1522,0.185185185,0.074,15.815,0.185,0.074,72.037,0.185,15.815,0.185,0.074,0.037,10,3,10,452,833,13,15,3.77,0.63,0.75,3.7,0.25,27,14,1.93
Jiri Prochazka,1534,1534,1534,0.133333333,0.067,22.4,0.2,0.067,42.667,0.133,22.4,0.2,0.067,0.267,5,3,3,593,1327,13,45,3.56,1.59,0.34,3.45,0.57,15,6,2.5
Brian Foster,1534,1469,1508,0.125,0.375,10.125,0.75,0.375,50.875,0.125,10.125,0.75,0.375,0.125,0,0,0,81,203,13,10,3.3,3.67,0.61,1.63,1.83,8,5,1.6
Don Madge,1533,1549,1540,0.4,0.2,8.4,0.6,0.2,121.8,0.4,8.4,0.6,0.2,0.0,5,3,0,42,80,13,12,2.08,2.22,1.48,0.74,0.74,5,2,2.5
Nazim Sadykhov,1533,1509,1524,0.125,0.125,20.375,0.625,0.125,35.75,0.125,20.375,0.625,0.125,0.125,6,2,3,216,443,1,8,4.94,1.71,0.69,5.72,0.34,8,3,2.67
Jose Quinonez,1533,1472,1509,0.142857143,0.19,16.238,0.81,0.19,65.952,0.143,16.238,0.81,0.19,0.048,2,1,0,341,750,12,36,3.6,2.7,0.48,3.0,0.63,21,9,2.33
Brendan Schaub,1533,1502,1521,0.210526316,0.105,11.947,0.632,0.105,77.789,0.211,11.947,0.632,0.105,0.053,0,0,0,227,602,13,26,2.92,2.32,0.77,2.22,0.39,19,11,1.73
Soa Palelei,1533,1498,1519,0.0,0.0,8.067,0.6,0.0,85.733,0.0,8.067,0.6,0.0,0.0,0,0,0,185,321,13,23,2.47,2.2,0.0,2.68,0.0,15,7,2.14
Zubaira Tukhugov,1533,1512,1525,0.130434783,0.0,15.522,0.696,0.0,23.261,0.13,15.522,0.696,0.0,0.043,7,1,7,357,894,7,41,3.17,2.13,0.4,3.07,0.0,23,9,2.56
Norman Parke,1533,1494,1517,0.0,0.0,15.154,0.654,0.0,86.346,0.0,15.154,0.654,0.0,0.038,0,0,0,394,1119,13,64,3.06,1.98,0.0,2.88,0.0,26,9,2.89
Dan Ige,1533,1518,1527,0.130434783,0.022,17.152,0.239,0.022,30.804,0.13,17.152,0.239,0.022,0.043,6,5,7,889,1941,2,60,3.66,0.99,0.49,3.5,0.25,46,17,2.71
Jared Gordon,1533,1502,1520,0.027777778,0.0,26.917,0.556,0.0,100.472,0.028,26.917,0.556,0.0,0.083,7,2,3,971,1739,6,63,5.75,1.78,0.09,3.97,0.0,36,15,2.4
Julio Arce,1533,1506,1522,0.111111111,0.111,18.63,0.148,0.111,18.519,0.111,18.63,0.148,0.111,0.0,6,5,2,566,1565,13,14,4.36,0.46,0.35,3.05,0.35,27,10,2.7
Carlston Harris,1532,1459,1503,0.1,0.2,12.1,0.5,0.2,70.8,0.1,12.1,0.5,0.2,0.0,5,6,6,121,245,13,17,3.18,1.97,0.39,2.66,0.79,10,6,1.67
Mark Madsen,1532,1472,1508,0.0,0.0,16.0,0.857,0.0,70.286,0.0,16.0,0.857,0.0,0.0,3,3,6,224,453,1,18,3.56,2.86,0.0,3.97,0.0,14,6,2.33
Alex Oliveira,1532,1512,1524,0.12244898,0.163,12.837,0.673,0.163,85.0,0.122,12.837,0.673,0.163,0.02,12,5,10,629,1230,26,86,2.99,2.35,0.43,2.55,0.57,49,22,2.23
Muhammad Naimov,1532,1532,1532,0.166666667,0.0,9.833,0.333,0.0,28.0,0.167,9.833,0.333,0.0,0.0,6,2,5,159,364,13,20,3.18,1.8,0.3,4.28,0.0,6,3,2.0
Jalin Turner,1532,1521,1528,0.318181818,0.318,21.136,0.182,0.318,30.455,0.318,21.136,0.182,0.318,0.045,10,4,11,530,1091,13,9,5.6,0.79,1.27,4.57,1.11,22,12,1.83
Veronica Hardy,1532,1524,1529,0.0,0.0,15.583,0.417,0.0,45.917,0.0,15.583,0.417,0.0,0.0,5,3,3,593,1327,13,45,3.56,1.59,0.34,3.45,0.57,12,4,3.0
Jack Jenkins,1532,1492,1516,0.181818182,0.0,23.182,0.455,0.0,49.636,0.182,23.182,0.455,0.0,0.0,6,3,3,307,507,4,13,4.83,2.12,0.47,2.92,0.0,11,4,2.75
Luana Santos,1532,1481,1512,0.0,0.375,19.875,0.5,0.375,96.75,0.0,19.875,0.5,0.375,0.0,0,4,4,159,310,13,10,4.28,1.62,0.0,4.15,1.21,8,4,2.0
Charles Radtke,1532,1532,1532,0.333333333,0.0,14.333,0.167,0.0,102.0,0.333,14.333,0.167,0.0,0.0,5,2,5,0,0,0,0,3.56,1.59,0.34,3.45,0.57,6,4,1.5
Anthony Smith,1532,1522,1528,0.125,0.143,13.196,0.125,0.143,16.268,0.125,13.196,0.125,0.143,0.036,19,15,21,844,1714,3,30,3.24,0.46,0.4,4.6,0.63,56,23,2.43
Alexis Davis,1532,1493,1516,0.0,0.237,19.842,0.316,0.237,91.132,0.0,19.842,0.316,0.237,0.132,2,8,0,954,1936,6,29,4.63,0.95,0.0,4.45,0.65,38,14,2.71
Chris Holdsworth,1532,1496,1517,0.0,0.6,8.2,1.0,0.6,169.4,0.0,8.2,1.0,0.6,0.0,0,0,0,41,138,5,8,1.85,3.38,0.0,1.94,2.03,5,2,2.5
Billy Quarantillo,1532,1497,1518,0.08,0.36,30.64,0.4,0.36,74.48,0.08,30.64,0.4,0.36,0.04,8,5,3,893,1577,1,43,7.36,1.24,0.25,5.57,1.11,25,10,2.5
Alberto Mina,1531,1516,1525,0.333333333,0.0,14.556,0.556,0.0,28.222,0.333,14.556,0.556,0.0,0.111,0,0,0,131,336,5,24,3.23,1.85,1.11,3.7,0.0,9,4,2.25
Jussier Formiga,1531,1527,1530,0.052631579,0.184,6.763,0.579,0.184,83.263,0.053,6.763,0.579,0.184,0.026,0,10,0,257,649,15,62,1.42,1.82,0.17,2.34,0.58,38,16,2.38
Anderson Silva,1531,1509,1522,0.285714286,0.095,13.206,0.048,0.095,13.048,0.286,13.206,0.048,0.095,0.016,22,4,0,1282,2084,3,18,3.05,0.5,0.86,2.05,0.79,63,25,2.52
Dustin Ortiz,1531,1531,1531,0.054054054,0.027,13.865,0.946,0.027,99.27,0.054,13.865,0.946,0.027,0.297,9,3,0,513,1149,32,97,2.94,3.01,0.17,2.17,0.09,37,14,2.64
Marcos Rogerio de Lima,1531,1505,1521,0.24137931,0.138,12.931,0.379,0.138,94.828,0.241,12.931,0.379,0.138,0.034,15,3,15,436,757,13,24,3.7,1.4,0.89,2.9,0.51,29,18,1.61
Josefine Knutsson,1531,1485,1513,0.0,0.0,34.167,0.5,0.0,115.333,0.0,34.167,0.5,0.0,0.167,1,0,0,292,562,3,11,4.87,2.0,0.0,2.07,0.0,6,2,3.0
Clayton Carpenter,1531,1476,1509,0.0,1.333,12.333,0.667,1.333,119.0,0.0,12.333,0.667,1.333,0.333,2,3,4,116,218,13,9,4.56,2.95,0.0,2.71,2.36,3,2,1.5
HyunSung Park,1531,1454,1500,0.4,0.6,17.6,0.2,0.6,61.6,0.4,17.6,0.2,0.6,0.0,4,4,4,121,269,1,11,4.15,1.54,1.03,3.43,2.57,5,2,2.5
Ibo Aslan,1531,1444,1496,0.333333333,0.0,24.667,0.0,0.0,0.333,0.333,24.667,0.0,0.0,0.0,14,0,12,123,245,0,0,8.34,0.0,2.03,4.34,0.0,3,1,3.0
Mauricio Ruffy,1531,1473,1508,0.5,0.0,23.0,0.0,0.0,5.0,0.5,23.0,0.0,0.0,0.0,10,0,7,162,273,13,1,4.7,0.0,0.87,4.76,0.0,4,2,2.0
Oumar Sy,1531,1471,1507,0.0,0.25,22.5,1.0,0.25,98.0,0.0,22.5,1.0,0.25,0.0,4,4,7,90,152,2,10,4.81,3.21,0.0,1.71,0.8,4,2,2.0
Ronaldo Rodriguez,1531,1466,1505,0.0,0.2,13.2,0.2,0.2,146.0,0.0,13.2,0.2,0.2,0.8,7,5,4,85,189,13,6,2.13,1.13,0.0,3.15,1.13,5,2,2.5
Tainara Lisboa,1531,1484,1512,0.0,0.167,10.0,0.667,0.167,90.667,0.0,10.0,0.667,0.167,0.0,3,2,4,60,118,1,10,2.05,2.05,0.0,1.4,0.51,6,2,3.0
Vinicius Oliveira,1531,1485,1513,0.166666667,0.0,27.167,0.5,0.0,18.667,0.167,27.167,0.5,0.0,0.0,16,2,14,192,440,2,5,5.87,1.38,0.92,2.87,0.0,6,2,3.0
Zhang Mingyang,1531,1484,1512,1.0,0.0,17.0,0.0,0.0,3.5,1.0,17.0,0.0,0.0,0.0,12,6,18,69,124,0,0,8.57,0.0,5.59,5.59,0.0,2,2,1.0
Hakeem Dawodu,1531,1501,1519,0.035714286,0.0,26.214,0.0,0.0,28.214,0.036,26.214,0.0,0.0,0.143,7,0,2,734,1443,13,2,5.45,0.0,0.11,3.37,0.0,28,10,2.8
Takeya Mizugaki,1531,1496,1517,0.085714286,0.029,17.514,0.457,0.029,73.714,0.086,17.514,0.457,0.029,0.0,0,0,0,797,2143,13,40,3.37,1.46,0.19,3.27,0.06,35,14,2.5
Makhmud Muradov,1531,1512,1523,0.166666667,0.056,18.5,0.889,0.056,37.278,0.167,18.5,0.889,0.056,0.056,17,3,10,333,758,13,24,4.21,3.03,0.57,2.57,0.19,18,7,2.57
Nate Diaz,1531,1520,1527,0.055555556,0.361,21.444,0.25,0.361,39.389,0.056,21.444,0.25,0.361,0.097,5,13,8,1694,3746,17,85,4.57,1.05,0.16,3.77,1.29,72,27,2.67
Warlley Alves,1531,1534,1532,0.083333333,0.25,13.139,0.361,0.25,58.5,0.083,13.139,0.361,0.25,0.028,4,7,5,485,1009,8,26,3.04,1.22,0.28,3.95,0.85,36,15,2.4
Jon Madsen,1531,1490,1514,0.0,0.0,11.667,0.417,0.0,53.083,0.0,11.667,0.417,0.0,0.0,0,0,0,140,341,13,7,2.46,1.32,0.0,1.18,0.0,12,5,2.4
Cathal Pendred,1531,1500,1518,0.0,0.133,12.133,0.8,0.133,66.4,0.0,12.133,0.8,0.133,0.0,0,0,0,182,407,13,51,2.49,2.46,0.0,3.01,0.41,15,6,2.5
Bobby Green,1531,1530,1530,0.083333333,0.083,30.9,0.35,0.083,41.117,0.083,30.9,0.35,0.083,0.067,5,3,3,593,1327,13,45,3.56,1.59,0.34,3.45,0.57,60,25,2.4
Karl Williams,1531,1455,1500,0.083333333,0.083,14.75,1.5,0.083,129.833,0.083,14.75,1.5,0.083,0.0,5,3,3,593,1327,13,45,3.56,1.59,0.34,3.45,0.57,12,4,3.0
Chris Duncan,1531,1496,1517,0.0,0.125,18.625,1.0,0.125,59.875,0.0,18.625,1.0,0.125,0.0,7,2,6,200,430,5,27,4.7,3.53,0.35,4.0,0.35,8,4,2.0
Danny Barlow,1531,1484,1512,0.166666667,0.0,23.667,0.0,0.0,14.833,0.167,23.667,0.0,0.0,0.0,5,1,5,158,312,13,2,5.72,0.0,0.54,3.48,0.0,6,2,3.0
Benoit Saint Denis,1530,1503,1519,0.266666667,0.333,20.8,1.067,0.333,98.0,0.267,20.8,1.067,0.333,0.067,5,3,3,593,1327,13,45,3.56,1.59,0.34,3.45,0.57,15,8,1.88
Dennis Hallman,1530,1513,1524,0.052631579,0.632,4.947,0.526,0.632,97.211,0.053,4.947,0.526,0.632,0.105,0,0,0,94,209,13,33,1.12,1.79,0.18,1.96,2.15,19,9,2.11
Cheick Kongo,1530,1506,1521,0.108108108,0.081,15.514,0.649,0.081,94.595,0.108,15.514,0.649,0.081,0.081,0,0,0,574,987,13,38,3.51,2.2,0.37,1.63,0.28,37,18,2.06
Ben Rothwell,1530,1517,1525,0.1,0.15,17.025,0.225,0.15,48.275,0.1,17.025,0.225,0.15,0.0,28,7,0,817,1919,7,29,3.71,0.68,0.61,4.63,0.41,40,17,2.35
Christian Rodriguez,1530,1507,1521,0.0,0.429,16.286,0.429,0.429,70.071,0.0,16.286,0.429,0.429,0.214,3,4,5,306,638,2,11,3.65,1.07,0.0,2.56,1.07,14,6,2.33
Alatengheili,1530,1479,1509,0.045454545,0.0,12.682,0.636,0.0,45.818,0.045,12.682,0.636,0.0,0.0,5,3,4,279,849,3,31,2.64,1.99,0.14,4.67,0.0,22,8,2.75
Youssef Zalal,1530,1497,1517,0.076923077,0.462,13.269,0.731,0.462,98.385,0.077,13.269,0.731,0.462,0.231,5,3,3,593,1327,13,45,3.56,1.59,0.34,3.45,0.57,26,10,2.6
Rodrigo Nascimento,1530,1497,1516,0.0,0.1,15.7,0.3,0.1,60.5,0.0,15.7,0.3,0.1,0.0,2,6,6,328,692,2,16,3.71,1.02,0.0,4.34,0.51,20,8,2.5
Anthony Pettis,1529,1543,1535,0.078431373,0.216,15.078,0.157,0.216,31.686,0.078,15.078,0.157,0.216,0.216,11,7,0,908,1909,8,24,3.05,0.61,0.35,3.44,1.06,51,20,2.55
John Hathaway,1529,1502,1518,0.08,0.28,16.4,0.84,0.28,111.0,0.08,16.4,0.84,0.28,0.04,0,0,0,410,1013,21,48,3.4,2.61,0.25,1.8,0.87,25,9,2.78
Ramazan Emeev,1529,1483,1511,0.045454545,0.227,12.364,0.773,0.227,79.364,0.045,12.364,0.773,0.227,0.045,3,7,7,272,602,4,57,2.53,2.37,0.14,2.14,0.7,22,8,2.75
Javid Basharat,1529,1455,1499,0.0,0.0,27.583,0.417,0.0,42.667,0.0,27.583,0.417,0.0,0.0,5,6,8,431,801,13,22,5.42,1.7,0.0,2.97,0.19,12,4,3.0
Calvin Kattar,1529,1534,1531,0.12195122,0.024,22.268,0.122,0.024,8.805,0.122,22.268,0.122,0.024,0.024,11,2,10,913,2316,2,17,4.76,0.39,0.39,6.75,0.08,41,13,3.15
Thiago Tavares,1529,1495,1515,0.0,0.421,8.658,1.105,0.421,100.526,0.0,8.658,1.105,0.421,0.132,0,0,0,329,820,13,98,2.0,3.83,0.0,2.31,1.46,38,18,2.11
Adriano Martins,1529,1586,1552,0.142857143,0.143,7.357,0.286,0.143,26.786,0.143,7.357,0.286,0.143,0.0,0,0,0,130,336,4,5,1.8,0.83,0.62,2.14,0.41,14,7,2.0
Gabriel Bonfim,1529,1512,1522,0.0,0.429,21.714,0.714,0.429,42.714,0.0,21.714,0.714,0.429,0.0,3,12,8,178,417,13,8,5.78,2.92,0.0,4.38,1.95,7,4,1.75
Denise Gomes,1529,1529,1529,0.133333333,0.333,18.333,0.267,0.333,74.933,0.133,18.333,0.267,0.333,0.333,6,0,2,378,756,13,16,4.55,0.72,0.36,3.11,0.9,15,6,2.5
Nicolae Negumereanu,1529,1488,1512,0.0,0.0,16.154,0.308,0.0,58.538,0.0,16.154,0.308,0.0,0.0,8,3,6,210,510,13,14,3.58,1.02,0.0,5.56,0.0,13,6,2.17
Magnus Cedenblad,1529,1503,1518,0.083333333,0.25,9.333,0.75,0.25,115.583,0.083,9.333,0.75,0.25,0.167,0,0,0,112,219,9,14,2.38,2.87,0.32,3.02,0.96,12,6,2.0
Jesus Aguilar,1528,1455,1499,0.166666667,0.5,4.333,0.167,0.5,55.0,0.167,4.333,0.167,0.5,0.167,1,7,4,50,98,13,12,1.46,1.75,0.44,1.26,1.75,6,4,1.5
Claude Patrick,1528,1528,1528,0.0,0.545,8.455,0.727,0.545,127.182,0.0,8.455,0.727,0.545,0.0,0,0,0,93,167,13,15,1.8,2.32,0.0,0.89,1.74,11,4,2.75
Shawn Jordan,1528,1531,1530,0.157894737,0.0,12.368,0.474,0.0,74.842,0.158,12.368,0.474,0.0,0.0,0,0,0,285,559,13,34,2.87,1.97,0.45,3.3,0.15,19,10,1.9
Sean Pierson,1528,1491,1514,0.0625,0.125,18.625,0.125,0.125,53.313,0.063,18.625,0.125,0.125,0.125,0,0,0,298,748,13,11,3.84,0.39,0.19,3.73,0.39,16,6,2.67
Nate Landwehr,1528,1522,1526,0.05,0.25,24.65,0.25,0.25,34.5,0.05,24.65,0.25,0.25,0.1,9,2,3,468,996,13,12,6.25,1.0,0.2,5.75,1.0,20,9,2.22
Clay Guida,1528,1518,1524,0.064516129,0.172,12.43,0.839,0.172,100.968,0.065,12.43,0.839,0.172,0.022,7,14,0,1280,3785,63,280,2.64,3.13,0.19,3.01,0.62,93,37,2.51
Holly Holm,1528,1520,1525,0.036363636,0.018,14.636,0.273,0.018,67.509,0.036,14.636,0.273,0.018,0.0,8,0,0,805,1975,6,50,3.13,0.87,0.12,2.92,0.06,55,16,3.44
Justin Gaethje,1528,1529,1529,0.181818182,0.0,29.212,0.03,0.0,7.788,0.182,29.212,0.03,0.0,0.0,20,0,9,964,1628,13,4,6.78,0.11,0.63,7.46,0.0,33,13,2.54
Loopy Godinez,1528,1499,1516,0.03030303,0.333,20.545,0.97,0.333,85.091,0.03,20.545,0.97,0.333,0.061,1,2,2,678,1407,15,67,4.16,2.95,0.09,3.69,1.01,33,12,2.75
Ismail Naurdiev,1528,1528,1528,0.0,0.083,15.833,0.417,0.083,51.083,0.0,15.833,0.417,0.083,0.167,12,6,15,256,475,13,20,3.41,1.6,0.0,1.52,0.2,12,4,3.0
Jared Cannonier,1528,1538,1532,0.092592593,0.0,20.593,0.13,0.0,22.037,0.093,20.593,0.13,0.0,0.0,10,2,7,1112,2218,1,15,4.49,0.42,0.3,4.39,0.0,54,18,3.0
Andre Fili,1528,1514,1522,0.111111111,0.074,17.556,0.648,0.074,44.778,0.111,17.556,0.648,0.074,0.111,10,3,8,948,2502,23,80,3.88,2.15,0.37,4.11,0.25,54,23,2.35
Yushin Okami,1528,1500,1516,0.072727273,0.164,9.327,0.6,0.164,104.618,0.073,9.327,0.6,0.164,0.0,13,3,0,577,1501,33,94,2.06,1.98,0.21,2.25,0.48,55,21,2.62
Ilir Latifi,1528,1504,1518,0.117647059,0.088,9.0,0.618,0.088,79.059,0.118,9.0,0.618,0.088,0.0,6,5,9,306,677,10,59,2.05,2.11,0.4,2.93,0.3,34,16,2.13
Melsik Baghdasaryan,1527,1469,1504,0.1,0.0,20.9,0.0,0.0,12.3,0.1,20.9,0.0,0.0,0.0,5,0,4,311,508,13,2,5.28,0.0,0.25,3.06,0.0,10,4,2.5
Viscardi Andrade,1527,1473,1505,0.2,0.1,15.2,0.6,0.1,58.9,0.2,15.2,0.6,0.1,0.0,0,0,0,152,358,13,12,3.26,1.93,0.64,2.77,0.32,10,4,2.5
Luis Pena,1527,1506,1519,0.045454545,0.364,17.091,0.364,0.364,104.136,0.045,17.091,0.364,0.364,0.364,2,4,0,376,802,1,24,3.66,1.17,0.15,3.12,1.17,22,8,2.75
Jeremiah Wells,1527,1493,1513,0.153846154,0.231,9.923,0.846,0.231,139.769,0.154,9.923,0.846,0.231,0.0,5,3,3,593,1327,13,45,3.56,1.59,0.34,3.45,0.57,13,6,2.17
Esteban Ribovics,1527,1527,1527,0.2,0.1,34.2,0.2,0.1,10.6,0.2,34.2,0.2,0.1,0.1,7,5,7,355,725,13,3,7.53,0.64,0.96,4.95,0.32,10,4,2.5
Stephan Bonnar,1527,1475,1506,0.054054054,0.351,12.405,0.459,0.351,96.459,0.054,12.405,0.459,0.351,0.081,0,0,0,532,1386,13,42,2.76,1.32,0.16,3.01,1.01,37,15,2.47
Matthew Riddle,1527,1501,1516,0.0,0.171,14.371,1.114,0.171,141.286,0.0,14.371,1.114,0.171,0.029,0,0,0,503,1186,13,78,3.01,3.51,0.0,2.74,0.54,35,12,2.92
John Makdessi,1526,1509,1520,0.117647059,0.0,26.275,0.0,0.0,4.49,0.118,26.275,0.0,0.0,0.0,9,0,5,1340,2690,13,4,5.52,0.0,0.37,4.15,0.0,51,20,2.55
Uros Medic,1526,1507,1519,0.5,0.0,18.8,0.1,0.0,8.6,0.5,18.8,0.1,0.0,0.0,5,3,3,593,1327,13,45,3.56,1.59,0.34,3.45,0.57,10,6,1.67
Jaqueline Amorim,1526,1506,1518,0.0,1.5,12.875,0.5,1.5,111.5,0.0,12.875,0.5,1.5,0.25,2,7,8,103,196,2,14,3.05,1.78,0.0,1.72,5.33,8,4,2.0
Khalil Rountree Jr.,1526,1515,1522,0.393939394,0.03,15.515,0.0,0.03,5.667,0.394,15.515,0.0,0.03,0.0,10,0,7,512,1334,0,0,3.73,0.0,1.42,4.51,0.11,33,16,2.06
Arjan Bhullar,1526,1490,1512,0.090909091,0.0,11.0,0.545,0.0,118.0,0.091,11.0,0.545,0.0,0.0,5,3,3,593,1327,13,45,3.56,1.59,0.34,3.45,0.57,11,4,2.75
Viviane Araujo,1526,1518,1523,0.026315789,0.211,19.737,0.605,0.211,63.158,0.026,19.737,0.605,0.211,0.0,5,3,3,593,1327,13,45,3.56,1.59,0.34,3.45,0.57,38,12,3.17
Ali Bagautinov,1525,1468,1502,0.086956522,0.087,14.043,0.826,0.087,82.913,0.087,14.043,0.826,0.087,0.043,0,0,0,323,761,13,52,2.85,2.51,0.26,3.09,0.26,23,7,3.29
Brady Hiestand,1525,1467,1502,0.0,0.333,12.667,1.5,0.333,133.25,0.0,12.667,1.5,0.333,0.083,4,3,4,152,299,6,39,2.7,4.8,0.0,3.75,1.07,12,4,3.0
Irene Aldana,1525,1509,1519,0.071428571,0.071,25.357,0.048,0.071,6.429,0.071,25.357,0.048,0.071,0.071,8,3,9,1065,2667,2,4,5.19,0.15,0.22,6.64,0.22,42,14,3.0
Kennedy Nzechukwu,1525,1506,1517,0.111111111,0.074,20.333,0.185,0.074,45.296,0.111,20.333,0.185,0.074,0.0,10,0,4,692,1472,13,11,5.34,0.58,0.35,4.83,0.23,27,12,2.25
Tim Means,1525,1501,1516,0.166666667,0.045,22.076,0.333,0.045,37.394,0.167,22.076,0.333,0.045,0.061,20,5,4,1457,2968,8,55,5.04,1.14,0.57,3.65,0.16,66,30,2.2
Vanessa Demopoulos,1525,1472,1504,0.05,0.1,20.25,0.15,0.1,44.4,0.05,20.25,0.15,0.1,0.05,1,4,4,429,1036,13,26,3.87,0.41,0.14,5.53,0.54,20,8,2.5
Ray Borg,1525,1493,1512,0.0,0.333,7.306,1.25,0.333,131.25,0.0,7.306,1.25,0.333,0.139,0,6,0,263,504,22,90,1.52,3.89,0.0,1.93,1.04,36,12,3.0
Nicolas Dalby,1525,1523,1524,0.027777778,0.028,20.0,0.333,0.028,62.861,0.028,20.0,0.333,0.028,0.056,6,4,3,720,1637,8,43,4.06,1.01,0.08,3.52,0.08,36,13,2.77
Joselyne Edwards,1524,1458,1497,0.0,0.185,22.333,0.407,0.185,54.593,0.0,22.333,0.407,0.185,0.259,6,3,6,603,1141,1,28,4.48,1.23,0.0,3.19,0.56,27,9,3.0
Uriah Hall,1524,1519,1522,0.177777778,0.044,14.089,0.156,0.044,16.178,0.178,14.089,0.156,0.044,0.133,14,1,0,634,1305,7,18,3.23,0.54,0.61,3.85,0.15,45,19,2.37
